date,open,high,low,close,volume,Name
2013-07-26,13.6778,13.8319,13.5967,13.8238,891579,DRE
2013-07-29,13.7752,13.84,13.6048,13.6535,1239917,DRE
2013-07-30,13.7752,13.8887,13.5804,13.6291,1534374,DRE
2013-07-31,13.7103,13.7914,13.2722,13.3614,2494829,DRE
2013-08-01,13.5237,13.7021,13.0288,13.1099,5414810,DRE
2013-08-02,13.0288,13.0856,12.8098,12.9314,5642890,DRE
2013-08-05,12.8909,12.9558,12.757,12.8747,3268364,DRE
2013-08-06,12.7854,12.899,12.7773,12.8747,2675558,DRE
2013-08-07,12.8665,12.9014,12.7286,12.8828,1103606,DRE
2013-08-08,12.9558,12.9639,12.753,12.826,2451454,DRE
2013-08-09,12.7692,13.0937,12.7692,13.0126,2865637,DRE
2013-08-12,12.9801,12.9801,12.7854,12.8179,1720544,DRE
2013-08-13,12.8425,12.8425,12.5308,12.5554,1476044,DRE
2013-08-14,12.5554,12.6292,12.4898,12.6046,1537491,DRE
2013-08-15,12.5226,12.5882,12.2684,12.3996,1947550,DRE
2013-08-16,12.3422,12.3627,11.8912,11.8912,2868382,DRE
2013-08-19,11.8912,11.9076,11.5795,11.5877,2917217,DRE
2013-08-20,11.6779,12.088,11.6041,11.9978,2860226,DRE
2013-08-21,11.9978,12.1659,11.7518,11.9486,2458237,DRE
2013-08-22,12.006,12.1044,11.8994,12.0142,2018573,DRE
2013-08-23,11.9896,12.2438,11.924,12.2274,2389505,DRE
2013-08-26,12.2766,12.3176,12.1618,12.3176,2826068,DRE
2013-08-27,12.2356,12.4406,12.0798,12.3832,4866275,DRE
2013-08-28,12.3668,12.4324,12.2274,12.2438,4697132,DRE
2013-08-29,12.1372,12.1618,12.0306,12.1044,1866693,DRE
2013-08-30,12.129,12.2028,11.924,11.965,2471001,DRE
2013-09-03,12.1372,12.1536,11.5959,11.801,4793193,DRE
2013-09-04,11.8502,12.0552,11.7846,12.0142,1852008,DRE
2013-09-05,11.9896,11.9896,11.7354,11.7928,1854829,DRE
2013-09-06,11.9978,12.1782,11.9322,11.965,1979211,DRE
2013-09-09,12.0634,12.252,11.9486,12.252,1849912,DRE
2013-09-10,12.2684,12.3012,12.1208,12.211,2027116,DRE
2013-09-11,12.1946,12.4406,12.1946,12.4324,1939963,DRE
2013-09-12,12.457,12.5062,12.3176,12.3586,1871950,DRE
2013-09-13,12.3258,12.498,12.2684,12.4734,1270760,DRE
2013-09-16,12.6949,12.9163,12.6046,12.6949,2114475,DRE
2013-09-17,12.6702,12.8343,12.6456,12.7441,1585558,DRE
2013-09-18,12.7277,13.3181,12.6128,13.3017,2211859,DRE
2013-09-19,13.3099,13.4657,13.2443,13.3181,2183286,DRE
2013-09-20,13.4001,13.4083,13.0475,13.1213,4382149,DRE
2013-09-23,13.0475,13.1379,12.9327,13.0885,2242142,DRE
2013-09-24,13.0557,13.0885,12.8917,12.9081,2079281,DRE
2013-09-25,12.9573,13.0967,12.7195,12.8753,1751012,DRE
2013-09-26,12.8425,13.0065,12.8343,12.9901,1296908,DRE
2013-09-27,12.9327,12.9901,12.7359,12.8999,1505818,DRE
2013-09-30,12.8015,12.9491,12.6374,12.662,2379156,DRE
2013-10-01,12.621,13.1787,12.5964,12.9409,3489635,DRE
2013-10-02,12.8835,12.9876,12.7359,12.8261,1786466,DRE
2013-10-03,12.8179,12.8589,12.5021,12.5882,2232056,DRE
2013-10-04,12.5882,12.7277,12.5513,12.6702,2053586,DRE
2013-10-07,12.5718,12.7564,12.539,12.6784,1522701,DRE
2013-10-08,12.6784,12.74,12.4324,12.457,2319278,DRE
2013-10-09,12.5144,12.7113,12.4734,12.5226,1532814,DRE
2013-10-10,12.6538,12.8999,12.5964,12.8179,7215013,DRE
2013-10-11,12.7687,12.9409,12.7277,12.9409,2622529,DRE
2013-10-14,12.8425,13.1951,12.8138,13.1787,3061584,DRE
2013-10-15,13.1787,13.2771,13.0065,13.0721,2670979,DRE
2013-10-16,13.1049,13.4493,13.0721,13.4411,2528430,DRE
2013-10-17,13.3509,13.7446,13.3099,13.6953,2390258,DRE
2013-10-18,13.7364,13.761,13.5641,13.7446,2073778,DRE
2013-10-21,13.761,13.7774,13.5559,13.6133,1608928,DRE
2013-10-22,13.6133,13.9906,13.5805,13.7938,2807748,DRE
2013-10-23,13.7528,13.8102,13.6543,13.7856,2923617,DRE
2013-10-24,13.7856,13.9496,13.7282,13.9496,1824188,DRE
2013-10-25,13.9578,14.13,13.8635,14.0972,1803493,DRE
2013-10-28,14.0972,14.0972,13.7917,13.9004,2344543,DRE
2013-10-29,13.9004,13.9496,13.5969,13.6871,3329616,DRE
2013-10-30,13.6789,13.7528,13.5067,13.6625,3969079,DRE
2013-10-31,13.7199,13.884,13.5149,13.5887,3840217,DRE
2013-11-01,13.6379,13.7036,13.3755,13.5559,2706526,DRE
2013-11-04,13.5969,13.7405,13.5149,13.7282,4563447,DRE
2013-11-05,13.6215,13.6543,13.4165,13.4411,3458342,DRE
2013-11-06,13.4739,13.5149,13.3099,13.3263,1863186,DRE
2013-11-07,13.3263,13.3673,12.9737,12.9983,2338341,DRE
2013-11-08,12.9327,12.9409,12.6046,12.8507,1517874,DRE
2013-11-11,12.8507,13.0475,12.7851,12.9983,1244561,DRE
2013-11-12,12.932,12.9817,12.7662,12.9237,3915601,DRE
2013-11-13,12.8739,13.1143,12.8408,13.0978,2326719,DRE
2013-11-14,13.1392,13.3713,13.1392,13.2636,1988041,DRE
2013-11-15,13.2718,13.3216,13.0314,13.2636,2106123,DRE
2013-11-18,13.2387,13.2636,13.0314,13.048,1896837,DRE
2013-11-19,12.9983,13.0563,12.8076,12.8657,1479547,DRE
2013-11-20,12.8739,13.1226,12.6584,12.733,2100714,DRE
2013-11-21,12.7745,12.8822,12.6833,12.8159,1607581,DRE
2013-11-22,12.7993,12.8366,12.6999,12.7745,1342103,DRE
2013-11-25,12.8408,12.8491,12.617,12.6252,2527193,DRE
2013-11-26,12.6252,12.8408,12.5341,12.5506,1756201,DRE
2013-11-27,12.5921,12.6584,12.5009,12.6418,1588950,DRE
2013-11-29,12.6999,12.7081,12.5465,12.5838,984256,DRE
2013-12-02,12.5424,12.6087,12.3848,12.5672,2570375,DRE
2013-12-03,12.5506,12.6501,12.5009,12.5506,2124262,DRE
2013-12-04,12.4429,12.5838,12.3766,12.4346,2510386,DRE
2013-12-05,12.418,12.4843,12.2854,12.3766,3515231,DRE
2013-12-06,12.4346,12.5838,12.4346,12.5424,2117434,DRE
2013-12-09,12.5672,12.5921,12.4595,12.4677,2275799,DRE
2013-12-10,12.4677,12.6045,12.418,12.418,3950096,DRE
2013-12-11,12.4097,12.4346,11.8792,11.9372,3022002,DRE
2013-12-12,11.9372,11.9538,11.7537,11.7548,3108972,DRE
2013-12-13,11.8294,11.9869,11.7548,11.8046,2797186,DRE
2013-12-16,11.8875,11.9372,11.7714,11.8543,3598035,DRE
2013-12-17,11.8543,12.045,11.8129,12.0201,3604030,DRE
2013-12-18,11.9952,12.2812,11.904,12.2605,4615106,DRE
2013-12-19,12.1942,12.2108,12.0201,12.1693,4382134,DRE
2013-12-20,12.1362,12.3766,12.1196,12.36,3031963,DRE
2013-12-23,12.3931,12.4429,12.2605,12.3019,1785906,DRE
2013-12-24,12.2688,12.36,12.2273,12.2937,799265,DRE
2013-12-26,12.3931,12.5092,12.248,12.3102,1525553,DRE
2013-12-27,12.4346,12.4346,12.1817,12.36,1374744,DRE
2013-12-30,12.3683,12.5009,12.3517,12.476,1052353,DRE
2013-12-31,12.4677,12.6252,12.4097,12.4677,2402948,DRE
2014-01-02,12.6418,12.6418,12.4097,12.476,2550464,DRE
2014-01-03,12.4595,12.617,12.4444,12.5672,1769103,DRE
2014-01-06,12.5838,12.6418,12.3434,12.3931,4387539,DRE
2014-01-07,12.4595,12.6418,12.389,12.5589,2448638,DRE
2014-01-08,12.5092,12.617,12.3848,12.4595,3102341,DRE
2014-01-09,12.5009,12.5009,12.2605,12.4097,1662047,DRE
2014-01-10,12.5092,12.6087,12.3766,12.4512,2824112,DRE
2014-01-13,12.4512,12.5258,12.36,12.3683,1615357,DRE
2014-01-14,12.4097,12.5755,12.3848,12.4429,1349679,DRE
2014-01-15,12.476,12.5921,12.4677,12.5424,1083474,DRE
2014-01-16,12.5506,12.5921,12.4926,12.5175,1396448,DRE
2014-01-17,12.476,12.5258,12.36,12.3683,1844819,DRE
2014-01-21,12.4429,12.5755,12.4097,12.476,2479422,DRE
2014-01-22,12.5258,12.617,12.5092,12.5424,3430641,DRE
2014-01-23,12.476,12.5092,12.4014,12.4429,2778574,DRE
2014-01-24,12.418,12.4843,12.2356,12.3019,3102338,DRE
2014-01-27,12.3019,12.3848,12.0035,12.045,4144512,DRE
2014-01-28,12.0781,12.2845,12.0781,12.1942,3392459,DRE
2014-01-29,12.1196,12.1942,12.0533,12.1279,2155415,DRE
2014-01-30,12.5258,12.8739,12.476,12.7662,3983601,DRE
2014-01-31,12.7662,13.1392,12.5838,13.0232,3274571,DRE
2014-02-03,12.9734,12.99,12.6004,12.6335,4064601,DRE
2014-02-04,13.3962,13.3962,12.8988,12.9983,4525640,DRE
2014-02-05,13.0066,13.0149,12.8822,12.9734,1609960,DRE
2014-02-06,12.9817,13.247,12.9154,13.2055,1895554,DRE
2014-02-07,13.2221,13.3465,13.1309,13.2387,1759369,DRE
2014-02-10,13.2055,13.4128,13.0978,13.3796,2018311,DRE
2014-02-11,13.4128,13.5869,13.2884,13.4874,2104923,DRE
2014-02-12,13.5544,13.5921,13.3709,13.4958,2392819,DRE
2014-02-13,13.4036,13.6382,13.3952,13.5209,1779013,DRE
2014-02-14,13.4455,13.6801,13.4455,13.6298,1273635,DRE
2014-02-18,13.6717,13.7387,13.4706,13.7303,2573308,DRE
2014-02-19,13.6717,13.9816,13.6549,13.8225,2145187,DRE
2014-02-20,13.8141,13.9565,13.7219,13.8141,1327680,DRE
2014-02-21,13.8308,13.9523,13.6801,13.8811,1602189,DRE
2014-02-24,13.8895,14.0403,13.8644,13.8895,2300701,DRE
2014-02-25,13.9062,13.9733,13.8225,13.856,2207810,DRE
2014-02-26,13.9062,13.9398,13.7555,13.7638,2395246,DRE
2014-02-27,13.7387,13.9272,13.6968,13.7973,3369837,DRE
2014-02-28,13.8225,14.1743,13.8057,14.0738,3476010,DRE
2014-03-03,13.9146,14.0654,13.7848,14.057,1999181,DRE
2014-03-04,14.2078,14.2665,14.0654,14.1324,2188138,DRE
2014-03-05,14.1408,14.1827,13.99,14.1408,1429073,DRE
2014-03-06,14.1576,14.1743,13.9774,14.0654,1375497,DRE
2014-03-07,14.0235,14.0403,13.7471,13.856,1668121,DRE
2014-03-10,13.8392,13.8895,13.7303,13.8141,1855959,DRE
2014-03-11,13.8476,14.057,13.8141,13.9649,1561600,DRE
